Date,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Evaporation (mm),Sunshine (hours),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am cloud amount (oktas),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm cloud amount (oktas),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),Average_Temperature,Temperature_Range,Rain_Status,Rain_Category,Year,Month,Day,Month_Name,Season
2024-03-03,12.8,20.9,0.0,6.2,4.5,SSE,39.0,14:46,15.8,58,7,WSW,11,1018.8,20.6,52,7.0,S,15,1019.4,16.85,8.099999999999998,No Rain,No Rain,2024,3,3,March,Autumn
2024-04-03,13.2,20.7,0.0,5.8,10.8,SSW,35.0,14:50,15.4,54,7,SE,9,1024.8,19.5,51,1.0,S,19,1023.1,16.95,7.5,No Rain,No Rain,2024,4,3,April,Autumn
2024-05-03,11.8,32.1,0.0,6.2,11.3,N,31.0,9:40,14.3,78,1,NE,9,1019.5,30.2,26,1.0,N,13,1016.0,21.950000000000003,20.3,No Rain,No Rain,2024,5,3,May,Autumn
2024-06-03,14.3,25.1,0.0,10.0,8.1,S,33.0,15:01,19.1,56,5, ,Calm,1016.9,23.8,54,4.0,SSW,17,1016.5,19.700000000000003,10.8,No Rain,No Rain,2024,6,3,June,Winter
2024-07-03,16.9,21.9,0.0,6.4,9.8,SSW,35.0,15:48,17.9,64,7,SE,13,1025.1,21.2,54,3.0,SSW,15,1024.0,19.4,5.0,No Rain,No Rain,2024,7,3,July,Winter
2024-08-03,14.2,26.0,0.0,5.4,9.8,SSW,26.0,15:08,17.7,75,7,N,6,1023.3,23.6,58,1.0,SSW,13,1020.2,20.1,11.8,No Rain,No Rain,2024,8,3,August,Winter
2024-09-03,16.9,37.6,0.0,6.6,11.4,N,57.0,9:15,21.2,73,0,NNE,6,1019.0,35.9,29,3.0,N,24,1016.5,27.25,20.700000000000003,No Rain,No Rain,2024,9,3,September,Spring
2024-10-03,21.2,36.9,0.0,18.0,11.1,N,39.0,9:01,28.4,35,1,N,19,1022.6,36.2,26,2.0,NNW,19,1021.0,29.049999999999997,15.7,No Rain,No Rain,2024,10,3,October,Spring
2024-11-03,20.5,35.1,0.0,14.0,9.2,NNW,44.0,14:46,23.6,55,7,NNE,9,1022.1,33.6,27,6.0,N,22,1018.2,27.8,14.600000000000001,No Rain,No Rain,2024,11,3,November,Spring
2024-12-03,22.8,23.1,0.0,16.0,0.3,SSW,35.0,10:35,22.9,71,7,SSW,15,1017.3,20.4,74,8.0,SSW,11,1019.2,22.950000000000003,0.3000000000000007,No Rain,No Rain,2024,12,3,December,Summer
2024-03-13,17.2,19.9,1.2,2.2,0.1,SE,22.0,23:35,17.3,84,7,ENE,4,1018.5,19.1,74,7.0,SSE,9,1015.8,18.549999999999997,2.6999999999999993,Rainy,Light,2024,3,13,March,Autumn
2024-03-14,16.4,22.7,0.4,1.0,5.6,SSW,39.0,13:23,18.3,77,8,SSE,9,1015.5,20.7,71,6.0,SSW,17,1016.0,19.549999999999997,6.300000000000001,Rainy,Light,2024,3,14,March,Autumn
2024-03-15,15.7,27.8,0.0,4.0,10.0,SSE,30.0,17:29,18.5,76,3,E,2,1020.3,26.9,41,1.0,SSW,6,1017.9,21.75,12.100000000000001,No Rain,No Rain,2024,3,15,March,Autumn
2024-03-16,14.4,29.6,0.0,6.0,10.9,S,26.0,14:54,17.1,77,0,NNE,7,1020.7,29.0,30,1.0,ENE,9,1015.8,22.0,15.200000000000001,No Rain,No Rain,2024,3,16,March,Autumn
2024-03-17,17.1,30.2,0.0,8.8,10.6,SSE,33.0,17:16,20.6,60,5,N,11,1015.2,27.4,39,4.0,S,11,1011.8,23.65,13.099999999999998,No Rain,No Rain,2024,3,17,March,Autumn
2024-03-18,16.3,31.9,0.0,7.6,11.0,NNW,26.0,10:33,19.9,64,1,ENE,6,1014.4,29.5,33,4.0,NE,9,1011.1,24.1,15.599999999999998,No Rain,No Rain,2024,3,18,March,Autumn
